Control_Ref,Control_Name,Gap_Description,Likelihood_1_3,Impact_1_3,Risk_Score,Risk_Level,Risk_Owner,Remediation_Action,Target_Date,NIST_CSF_Function
5.35,Independent Review of Information Security,No external security audit penetration test or independent ISMS review has been conducted or published.,3,3,9,Critical,Security Team Lead,Commission annual penetration test by CREST-accredited firm; engage external ISMS auditor for readiness review; publish summary findings.,Q4-2026,Identify
5.9,Inventory of Information and Other Associated Assets,No information asset register or data-flow inventory exists; assets supporting CI/CD release signing and contributor data are not formally identified.,2,3,6,High,Engineering Manager,Create and maintain an asset register covering GitHub repos CI/CD pipelines secrets/credentials and release artefacts; map data flows to identify personal data processing.,Q3-2026,Identify
8.12,Data Leakage Prevention,No DLP controls or secret scanning enforced in CI pipeline; secrets accidentally committed would not be automatically detected or blocked.,2,3,6,High,DevSecOps Lead,Enable GitHub secret scanning push-protection; add Gitleaks as a required CI check; rotate any previously exposed secrets.,Q2-2026,Protect
5.19,Information Security in Supplier Relationships,No supplier security assessment or third-party risk policy; critical suppliers (GitHub HackerOne cloud runners) have not been assessed against security requirements.,2,3,6,High,Legal / Procurement,Develop supplier risk questionnaire; complete risk assessments for critical third parties; include security clauses in new supplier agreements.,Q3-2026,Identify
8.25,Secure Development Lifecycle,No formal SSDLC policy or mandatory security gates; PHP static scanner exists but is not enforced in CI pipeline.,3,2,6,High,Engineering Manager,Formalise SSDLC policy; add Psalm/Semgrep as mandatory required CI check on all PRs to stable branches; introduce threat modelling for new features.,Q2-2026,Protect
5.24,Information Security Incident Management Planning,HackerOne triage process documented in SECURITY.md but no formal IRP with roles escalation paths communication templates or severity matrix is published.,2,3,6,High,Security Team Lead,Draft and publish formal IRP covering detection triage containment recovery and post-incident review; assign RACI; conduct tabletop exercise.,Q3-2026,Respond
8.28,Secure Coding,PHP static scanner repo exists but not enforced as a required CI check; insecure code can merge without automated security validation.,3,2,6,High,Engineering Lead,Configure SAST as a required status check in GitHub branch protection rules for all stable branches.,Q2-2026,Protect
6.5,Responsibilities After Termination or Change of Employment,No formal offboarding procedure; departing contributors GitHub org membership access to CI/CD secrets and pipeline permissions may persist indefinitely.,2,3,6,High,Engineering Manager,Create offboarding checklist: revoke GitHub org membership rotate shared secrets audit remaining access; automate via GitHub org management APIs.,Q2-2026,Protect
8.22,Segregation of Networks,No network segmentation for CI/CD pipelines; a compromised GitHub Actions runner could access long-lived secrets and pivot to production credentials.,2,3,6,High,DevSecOps Lead,Migrate to ephemeral self-hosted runners; implement OIDC token federation to eliminate long-lived CI secrets; review and restrict workflow permissions.,Q2-2026,Protect
5.12,Classification of Information,No information classification scheme defined; all project data treated without differentiated protective controls.,2,2,4,Medium,Data Protection Officer,Define 4-tier classification scheme (Public/Internal/Confidential/Restricted); apply labels to key data assets; update access controls accordingly.,Q4-2026,Identify
8.13,Information Backup,No backup policy for critical project infrastructure including CI/CD secrets release signing keys and GitHub organisation configuration.,2,2,4,Medium,Infrastructure Lead,Define RPO/RTO targets; implement encrypted offsite backups of signing keys and critical secrets; test recovery quarterly.,Q3-2026,Recover
5.27,Learning from Information Security Incidents,No formal post-incident lessons-learned process; repeat vulnerability classes have appeared in advisories suggesting no systematic root-cause remediation.,1,3,3,Medium,Security Team Lead,Establish post-incident review process; publish anonymised lessons-learned summaries after major incidents; feed findings into SSDLC.,Q4-2026,Recover
5.29,Information Security During Disruption,No BCP/DR plan for critical project infrastructure; loss of GitHub org access or signing keys would halt releases.,1,3,3,Medium,Project Manager,Document BCP covering key-person risk GitHub org recovery release-signing key escrow and emergency communication channels.,Q4-2026,Recover
